section,value
summary.total_requests,4
summary.status_counts.pending,4
summary.completion_rate,0.0
summary.avg_match_time_minutes,
summary.avg_completion_time_minutes,
summary.overdue_pending_count,4
trends[0].bucket,2026-03-03T00:00:00+00:00
trends[0].total,4
breakdowns.blood_group[0].blood_group,A+
breakdowns.blood_group[0].count,4
breakdowns.request_type[0].request_type,normal
breakdowns.request_type[0].count,4
breakdowns.priority[0].priority,medium
breakdowns.priority[0].count,4
meta.group_by,day
meta.date_from,2026-02-02T08:00:00+00:00
meta.date_to,2026-03-05T07:59:59+00:00
meta.record_count,4
