section,value
summary.total_notifications,40
summary.delivered_rate,100.0
summary.failed_rate,0.0
summary.queued_notifications,0
summary.retryable_failed_notifications,0
summary.reminder_activity_count,1
summary.pending_response_backlog,0
summary.auto_match_enabled_rate,100.0
data_quality.donors_missing_coordinates,0
data_quality.hospitals_missing_coordinates,0
data_quality.requests_missing_response_deadline,0
failed_events,[]
notification_trend[0].bucket,2026-03-03T00:00:00+00:00
notification_trend[0].status,delivered
notification_trend[0].count,40
pending_backlog_trend[0].bucket,2026-03-03T00:00:00+00:00
pending_backlog_trend[0].count,4
meta.date_from,2026-02-02T08:00:00+00:00
meta.date_to,2026-03-05T07:59:59+00:00
meta.record_count,40
